category,scientificName,vernacularName,taxonRank,taxonomicStatus,synonym,NgunnawalName,kingdom,phylum,class,order,family,taxonRemarks,sourceStatus,status,comments,authority
Bird,Anthochaera phrygia,Regent Honeyeater,species,accepted,,,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,,Critically Endangered,Critically Endangered,,Nature Conservation Act 2014 (ACT)
Reptile,Aprasia parapulchella,Pink-tailed Worm-lizard,species,accepted,,Banburung,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,,Vulnernable,Vulnernable,,Nature Conservation Act 2014 (ACT)
Mammal,Bettongia gaimardi,Eastern Bettong,species,accepted,,,Animalia,Chordata,Mammalia,Diprotodontia,Potoroidae,,Regionally Conservation Dependent,,Regionally Conservation Dependent,Nature Conservation Act 2014 (ACT)
Fish,Bidyanus bidyanus,Silver Perch,species,accepted,,Dhingur,Animalia,Chordata,Actinopterygii,Perciformes,Terapontidae,,Endangered,Endangered,,Nature Conservation Act 2014 (ACT)
Plant,Bossiaea grayi,Murrumbidgee Bossiaea,species,accepted,,,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,,Endangered,Endangered,,Nature Conservation Act 2014 (ACT)
Mammal,Petauroides volans,Greater Glider,species,accepted,,Banguu,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,,Vulnernable,Vulnernable,,Nature Conservation Act 2014 (ACT)
Bird,Botaurus poiciloptilus,Australasian Bittern,species,accepted,,,Animalia,Chordata,Aves,Ciconiiformes,Ardeidae,,Endangered,Endangered,included in ACT Migratory Species Action Plan,Nature Conservation Act 2014 (ACT)
Plant,Caladenia actensis,Canberra Spider Orchid,species,accepted,Arachnorchis actensis,,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,,Critically Endangered,Critically Endangered,,Nature Conservation Act 2014 (ACT)
Bird,Calyptorhynchus lathami lathami,Glossy Black-cockatoo,subspecies,accepted,,,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,,Vulnernable,Vulnernable,Calyptorhynchus lathami species rank considered to be this subspecies when occurring in the ACT,Nature Conservation Act 2014 (ACT)
Bird,Climacteris picumnus victoriae,Brown Treecreeper,subspecies,accepted,,,Animalia,Chordata,Aves,Passeriformes,Climacteridae,,Vulnernable,Vulnernable,,Nature Conservation Act 2014 (ACT)
Plant,Corunastylis ectopa,Brindabella Midge Orchid,species,accepted,,,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,,Critically Endangered,Critically Endangered,,Nature Conservation Act 2014 (ACT)
Bird,Daphoenositta chrysoptera,Varied Sittella,species,accepted,,,Animalia,Chordata,Aves,Passeriformes,Neosittidae,,Vulnernable,Vulnernable,,Nature Conservation Act 2014 (ACT)
Mammal,Dasyurus maculatus maculatus,Spotted-tailed Quoll,subspecies,accepted,,Murunguny,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,,Vulnernable,Vulnernable,,Nature Conservation Act 2014 (ACT)
